GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Hotel,net.mooctest,Othello,619,0,26,0,50,0,15,0,2,0
Hotel,net.mooctest,Board,2282,0,476,0,245,0,247,0,9,0
Hotel,net.mooctest,MyTreeNode,106,56,2,0,23,21,10,8,9,8
Hotel,net.mooctest,AlphaBetaPruning,317,0,38,0,65,0,23,0,4,0
